frame,id,x1,y1,x2,y2
0,1,1055,549,1110,601
1,1,1060,559,1112,608
2,1,1063,564,1117,615
3,1,1068,568,1125,622
4,1,1072,574,1131,631
5,1,1076,580,1138,639
6,1,1080,587,1144,647
7,1,1086,593,1150,655
8,1,1091,603,1157,666
9,1,1097,611,1165,676
10,1,1103,616,1174,685
11,1,1109,626,1183,696
12,1,1118,635,1195,709
13,1,1124,646,1206,723
14,1,1131,656,1217,735
15,1,1140,666,1230,749
16,1,1149,678,1244,766
17,1,1159,692,1257,783
18,1,1170,706,1272,802
19,1,1182,721,1289,821
20,1,1194,739,1308,845
21,1,1208,758,1329,870
22,1,1225,780,1351,899
23,1,1242,803,1377,931
24,1,1262,828,1405,964
25,1,1284,857,1438,1004
26,1,1310,889,1476,1049
27,1,1340,918,1518,1078
38,6,1110,484,1153,519
39,6,1112,489,1156,522
40,7,1028,466,1078,507
40,6,1114,491,1158,524
41,7,1029,468,1080,511
41,6,1116,490,1162,524
42,7,1033,472,1081,514
42,6,1118,491,1164,527
43,7,1036,475,1084,516
43,6,1121,492,1168,530
44,7,1038,478,1086,519
44,6,1124,493,1171,533
45,7,1038,480,1087,522
45,6,1127,494,1174,536
46,7,1039,482,1089,525
46,6,1129,495,1176,538
47,7,1042,484,1092,527
47,6,1132,497,1180,542
48,7,1044,487,1097,533
48,6,1135,501,1184,547
49,7,1046,491,1100,537
49,6,1138,505,1188,550
50,7,1047,493,1103,541
50,6,1141,509,1193,554
51,7,1049,495,1105,546
51,6,1146,513,1197,558
52,7,1051,498,1108,549
52,6,1150,515,1202,561
53,7,1056,501,1112,554
53,6,1155,517,1207,563
54,7,1060,505,1115,559
54,6,1158,521,1211,569
55,7,1063,512,1120,566
55,6,1163,527,1217,575
56,7,1066,518,1124,573
56,6,1167,532,1222,581
57,7,1070,523,1129,579
57,6,1171,536,1228,586
58,7,1073,527,1132,585
58,6,1176,539,1235,591
59,7,1078,533,1139,591
59,6,1181,541,1241,594
60,7,1083,539,1146,600
60,6,1188,544,1248,600
61,7,1086,544,1151,608
61,6,1193,553,1254,608
62,7,1091,554,1157,618
62,6,1197,558,1261,614
63,7,1097,562,1165,627
63,6,1204,563,1270,622
64,7,1103,569,1172,636
64,6,1212,567,1279,627
65,7,1107,578,1178,647
65,6,1219,575,1287,637
66,7,1114,588,1187,658
66,6,1225,581,1296,644
67,7,1120,597,1196,668
67,6,1232,586,1305,652
68,7,1126,606,1206,680
68,6,1239,593,1315,661
69,7,1133,616,1216,694
69,6,1247,601,1325,670
70,7,1142,627,1227,708
70,6,1258,611,1337,683
71,7,1151,639,1239,724
71,6,1265,618,1348,692
72,7,1159,653,1252,741
72,6,1275,626,1361,703
73,7,1168,668,1265,760
73,6,1285,635,1374,715
74,8,1046,445,1083,476
74,7,1179,683,1282,779
74,6,1296,647,1388,730
75,8,1047,447,1085,477
75,7,1187,699,1297,801
75,6,1308,656,1403,743
76,8,1049,448,1087,479
76,7,1201,716,1317,824
76,6,1320,669,1420,758
77,7,1215,736,1337,852
77,6,1333,680,1436,773
78,7,1230,757,1359,879
78,6,1346,691,1455,790
