frame,id,x1,y1,x2,y2
1,1,1055,549,1110,601
10,1,1096,610,1165,675
100,24,1099,535,1157,588
101,24,1103,540,1162,596
102,24,1108,545,1169,604
1027,133,1137,456,1182,491
1028,133,1137,459,1186,495
1029,133,1139,461,1190,500
103,24,1112,551,1174,612
1030,133,1145,464,1195,503
1031,133,1150,467,1199,509
1032,133,1154,470,1204,513
1033,133,1159,474,1209,517
1034,133,1163,480,1215,524
1035,133,1166,487,1221,529
1036,133,1172,492,1225,537
1037,133,1177,496,1233,542
1038,133,1181,502,1240,549
1039,133,1188,509,1247,556
104,24,1116,558,1179,620
1040,133,1191,513,1255,562
1041,133,1198,517,1264,571
1042,133,1208,529,1273,578
1043,133,1214,537,1282,587
1044,133,1220,540,1293,598
1045,133,1228,549,1301,607
1046,133,1234,558,1313,619
1047,133,1245,563,1327,630
1048,133,1255,575,1341,642
1049,133,1266,584,1355,655
105,24,1120,566,1186,630
1050,133,1277,595,1369,670
1051,133,1289,606,1387,686
1052,133,1303,619,1406,703
1053,133,1317,632,1428,721
1054,133,1331,649,1449,741
1055,133,1350,664,1474,763
1056,133,1368,681,1502,787
1057,133,1388,699,1528,813
1058,133,1410,719,1560,841
1059,133,1434,741,1597,873
106,24,1124,574,1194,641
1060,133,1462,767,1636,910
1061,133,1493,794,1684,951
1062,133,1529,826,1737,998
1063,133,1566,861,1798,1051
1064,133,1610,901,1879,1077
1065,133,1663,949,1914,1079
107,24,1129,581,1204,652
108,24,1135,589,1211,664
108,26,1120,464,1164,500
1082,137,1132,451,1174,487
1082,138,0,845,135,992
1083,137,1134,451,1176,491
1083,138,0,821,170,959
1084,137,1136,457,1179,494
1084,138,2,792,208,920
1085,137,1136,459,1182,498
1085,138,35,767,240,886
1086,137,1138,462,1184,501
1086,138,79,742,275,854
1087,137,1139,462,1187,503
1087,138,122,723,303,824
1088,137,1143,465,1191,506
1088,138,161,705,329,801
1089,137,1145,468,1194,510
1089,138,195,686,353,779
109,24,1139,599,1221,676
109,26,1124,466,1167,502
1090,137,1146,468,1195,513
1090,138,229,671,377,759
1091,137,1148,469,1198,516
1091,138,259,656,395,741
1092,137,1150,471,1201,520
1092,138,287,643,414,723
1093,137,1154,482,1204,525
1093,138,310,631,432,705
1094,137,1157,486,1207,529
1094,138,335,618,450,690
1095,137,1159,489,1211,534
1095,138,357,607,466,678
1096,137,1162,492,1213,538
1096,138,376,595,482,666
1097,137,1163,495,1218,540
1097,138,395,589,497,654
1098,137,1165,497,1221,545
1098,138,413,579,512,646
1099,137,1168,499,1225,550
1099,138,428,570,525,635
1099,139,1112,433,1152,463
11,1,1102,615,1174,685
110,24,1146,608,1229,688
110,26,1127,467,1169,505
1100,137,1171,501,1229,555
1100,138,445,563,535,625
1100,139,1113,434,1153,466
1101,137,1173,505,1234,561
1101,138,458,554,547,613
1102,137,1177,509,1238,566
1102,138,473,548,557,606
1102,139,1116,436,1156,476
1103,137,1182,514,1243,571
1103,138,483,544,565,597
1103,139,1116,438,1157,479
1104,137,1183,518,1247,576
1104,138,498,537,576,590
1104,139,1117,442,1159,482
1105,137,1185,523,1252,581
1105,138,508,532,587,584
1105,139,1118,444,1161,483
1106,137,1190,526,1258,586
1106,138,518,527,596,579
1106,139,1119,445,1163,487
1107,137,1196,533,1264,592
1107,138,529,522,603,574
1107,139,1120,447,1164,490
1108,137,1201,538,1269,598
1108,138,540,515,611,563
1108,139,1121,450,1164,493
1109,137,1209,543,1274,603
1109,138,551,511,618,557
1109,139,1123,452,1165,496
111,24,1153,616,1239,701
111,26,1129,467,1172,509
1110,137,1213,547,1282,610
1110,138,561,507,628,552
1110,139,1124,455,1167,500
1111,137,1215,554,1289,618
1111,138,568,503,636,549
1111,139,1125,455,1170,504
1112,137,1219,559,1296,627
1112,138,577,499,642,542
1112,139,1126,456,1173,506
1113,137,1223,563,1304,633
1113,138,587,492,648,538
1113,139,1126,459,1175,508
1114,137,1230,566,1313,639
1114,138,597,488,653,530
1114,139,1128,464,1176,511
1115,137,1233,574,1319,648
1115,138,602,485,660,524
1115,139,1129,468,1178,515
1116,137,1242,579,1329,656
1116,138,610,482,667,519
1116,139,1131,470,1181,519
1117,137,1248,588,1338,665
1117,138,618,478,673,514
