frame,id,x1,y1,x2,y2
0,200,1055,549,1110,601
1,200,1060,559,1112,608
2,200,1063,564,1117,615
3,200,1068,568,1125,622
4,200,1072,574,1131,631
5,200,1076,580,1138,639
6,200,1080,587,1144,647
7,200,1086,593,1150,655
8,200,1091,603,1157,666
9,200,1097,611,1165,676
10,200,1103,616,1174,685
11,200,1109,626,1183,696
12,200,1118,635,1195,709
13,200,1124,646,1206,723
14,200,1131,656,1217,735
15,200,1140,666,1230,749
16,200,1149,678,1244,766
17,200,1159,692,1257,783
18,200,1170,706,1272,802
19,200,1182,721,1289,821
20,200,1194,739,1308,845
21,200,1208,758,1329,870
22,200,1225,780,1351,899
23,200,1242,803,1377,931
24,200,1262,828,1405,964
25,200,1284,857,1438,1004
26,200,1310,889,1476,1049
27,200,1340,918,1518,1078
38,205,1110,484,1153,519
39,205,1112,489,1156,522
